[2022-01-13T14:20:06.413] [INFO] default - [::1 POST /basicsRouter/routerpage 200 16ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:20:23.339] [INFO] default - [::1 POST /basicsRouter/routerpage 200 13ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:20:26.893] [INFO] default - [::1 POST /basicsRouter/getAllFormList 200 10ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:20:41.696] [INFO] default - [::1 POST /basicsRouter/getAllFormList 200 11ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:22:31.190] [INFO] default - [::1 POST /basicsRouter/routerpage 200 13ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:22:44.375] [INFO] default - [::1 POST /basicsRouter/routerpage 200 14ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:24:12.536] [INFO] default - [::1 POST /basicsRouter/routerpage 200 12ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:25:18.257] [INFO] default - [::1 POST /basicsRouter/routerpage 200 16ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:25:50.272] [INFO] default - [::1 POST /basicsRouter/routerpage 200 15ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:25:54.282] [INFO] default - [::1 POST /basicsRouter/getAllFormList 200 12ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:27:22.218] [INFO] default - [::1 POST /basicsRouter/routerpage 200 15ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:28:03.173] [INFO] default - [::1 POST /basicsRouter/routerpage 200 16ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:28:06.816] [INFO] default - [::1 POST /basicsRouter/routerpage 200 11ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:28:24.165] [INFO] default - [::1 POST /basicsRouter/routerpage 200 13ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:28:34.797] [INFO] default - [::1 POST /basicsRouter/getAllFormList 200 10ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:29:17.567] [INFO] default - [::1 POST /basicsRouter/routerpage 200 18ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:29:57.368] [INFO] default - [::1 POST /basicsRouter/routerpage 200 11ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:30:20.859] [INFO] default - [::1 POST /basicsRouter/routerpage 200 10ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
